"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.269,0.897,9,-10.229,1,0.739,0.0613,0.104,0.292,0.168,199.353,"2PXjDxhNDKInSOqwCaihCi","https://api.spotify.com/v1/audio-analysis/2PXjDxhNDKInSOqwCaihCi",4,1,341186,FALSE,"https://api.spotify.com/v1/tracks/2PXjDxhNDKInSOqwCaihCi",FALSE,"Children of Production - Live","https://p.scdn.co/mp3-preview/90ceabbeadf1209bbb23507b33d0abb0de050867?cid=e188d9db0a404bde8520197a511c47e2",5,"track","spotify:track:2PXjDxhNDKInSOqwCaihCi","https://open.spotify.com/track/2PXjDxhNDKInSOqwCaihCi","Ebbet's Field, Denver, Co October 1976","A","major","A major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.384,0.919,6,-9.75,0,0.276,0.00412,0.077,0.258,0.191,96.502,"0I3GCwhmDp7fHgkzCzbAcj","https://api.spotify.com/v1/audio-analysis/0I3GCwhmDp7fHgkzCzbAcj",4,1,375960,FALSE,"https://api.spotify.com/v1/tracks/0I3GCwhmDp7fHgkzCzbAcj",FALSE,"Mothership Connection (Star Child) / Jam / Swing Down Sweet Chariot - Live","https://p.scdn.co/mp3-preview/270c9cb5ecc21418f09212546c8cd0b25e1e1b8c?cid=e188d9db0a404bde8520197a511c47e2",6,"track","spotify:track:0I3GCwhmDp7fHgkzCzbAcj","https://open.spotify.com/track/0I3GCwhmDp7fHgkzCzbAcj","Ebbet's Field, Denver, Co October 1976","F#","minor","F# minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.367,0.833,7,-9.821,0,0.422,0.0215,0.0096,0.274,0.371,153.987,"5LkzzgHEEaG4vrWREM77hX","https://api.spotify.com/v1/audio-analysis/5LkzzgHEEaG4vrWREM77hX",4,1,756400,FALSE,"https://api.spotify.com/v1/tracks/5LkzzgHEEaG4vrWREM77hX",FALSE,"Dr. Funkenstein / Jam - Live","https://p.scdn.co/mp3-preview/33c544b916dbb50130d4c2afd20909485be5951f?cid=e188d9db0a404bde8520197a511c47e2",7,"track","spotify:track:5LkzzgHEEaG4vrWREM77hX","https://open.spotify.com/track/5LkzzgHEEaG4vrWREM77hX","Ebbet's Field, Denver, Co October 1976","G","minor","G minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.393,0.948,11,-8.518,0,0.278,0.0562,0.158,0.11,0.169,134.77,"5UdZ5OFyTpmuAfJaeYtsYH","https://api.spotify.com/v1/audio-analysis/5UdZ5OFyTpmuAfJaeYtsYH",4,1,267013,FALSE,"https://api.spotify.com/v1/tracks/5UdZ5OFyTpmuAfJaeYtsYH",FALSE,"Comin' 'Round the Mountain - Live","https://p.scdn.co/mp3-preview/0a8bab8eab64adcd20ad3699144b131fb49e3b87?cid=e188d9db0a404bde8520197a511c47e2",8,"track","spotify:track:5UdZ5OFyTpmuAfJaeYtsYH","https://open.spotify.com/track/5UdZ5OFyTpmuAfJaeYtsYH","Ebbet's Field, Denver, Co October 1976","B","minor","B minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.513,0.945,9,-9.109,1,0.312,0.0118,0.161,0.0576,0.285,120.276,"0KG4hAOLMNOSGFTwFCxfHA","https://api.spotify.com/v1/audio-analysis/0KG4hAOLMNOSGFTwFCxfHA",4,1,630586,FALSE,"https://api.spotify.com/v1/tracks/0KG4hAOLMNOSGFTwFCxfHA",FALSE,"Give up the Funk / Jam / Get off Your Ass 'n' Jam / Night of the Thumpasarus People - Live","https://p.scdn.co/mp3-preview/ca27bbd16ba7a6edae6b3a0a43efab291bd816c0?cid=e188d9db0a404bde8520197a511c47e2",9,"track","spotify:track:0KG4hAOLMNOSGFTwFCxfHA","https://open.spotify.com/track/0KG4hAOLMNOSGFTwFCxfHA","Ebbet's Field, Denver, Co October 1976","A","major","A major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.384,0.38,9,-13.099,0,0.0964,0.103,0.000355,0.33,0.164,108.619,"3M632BE4hkJk7IISeObQ5B","https://api.spotify.com/v1/audio-analysis/3M632BE4hkJk7IISeObQ5B",3,1,404321,FALSE,"https://api.spotify.com/v1/tracks/3M632BE4hkJk7IISeObQ5B",FALSE,"James Wesley JacksonS Opening Monologue / Band Intros - Live","https://p.scdn.co/mp3-preview/101f42f72484c62c418344ee8bf4b40d7835c4dc?cid=e188d9db0a404bde8520197a511c47e2",1,"track","spotify:track:3M632BE4hkJk7IISeObQ5B","https://open.spotify.com/track/3M632BE4hkJk7IISeObQ5B","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","A","minor","A minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.466,0.853,9,-12.616,0,0.0433,0.00377,0.209,0.107,0.327,130.856,"4a4ITobhOObJkSTXVpN8zC","https://api.spotify.com/v1/audio-analysis/4a4ITobhOObJkSTXVpN8zC",4,1,305786,FALSE,"https://api.spotify.com/v1/tracks/4a4ITobhOObJkSTXVpN8zC",FALSE,"Uncle Jam - Live","https://p.scdn.co/mp3-preview/d3bf55690115c083e961e841da8366b81b4104e3?cid=e188d9db0a404bde8520197a511c47e2",2,"track","spotify:track:4a4ITobhOObJkSTXVpN8zC","https://open.spotify.com/track/4a4ITobhOObJkSTXVpN8zC","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","A","minor","A minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.441,0.761,11,-9.727,0,0.0714,0.0916,3.24e-05,0.457,0.745,106.577,"1PKkU8BXRQwKcacc78Csxo","https://api.spotify.com/v1/audio-analysis/1PKkU8BXRQwKcacc78Csxo",4,1,455546,FALSE,"https://api.spotify.com/v1/tracks/1PKkU8BXRQwKcacc78Csxo",FALSE,"Cosmic Slop - Live","https://p.scdn.co/mp3-preview/318a7c7d6427cb05fec23c4afb4b5284008c5112?cid=e188d9db0a404bde8520197a511c47e2",3,"track","spotify:track:1PKkU8BXRQwKcacc78Csxo","https://open.spotify.com/track/1PKkU8BXRQwKcacc78Csxo","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","B","minor","B minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.405,0.745,7,-11.704,1,0.124,0.0957,0,0.568,0.683,103.87,"0RHV6YLEz3UyCfamiTbnsX","https://api.spotify.com/v1/audio-analysis/0RHV6YLEz3UyCfamiTbnsX",4,1,1281626,FALSE,"https://api.spotify.com/v1/tracks/0RHV6YLEz3UyCfamiTbnsX",FALSE,"Cholly (Funk Gettin Ready To Roll) / I Got A Thing, You Got A Thing, EverybodyS Got A Thing - Live","https://p.scdn.co/mp3-preview/2ebedce2a5a938aa9f1300d6d4f581c709565461?cid=e188d9db0a404bde8520197a511c47e2",4,"track","spotify:track:0RHV6YLEz3UyCfamiTbnsX","https://open.spotify.com/track/0RHV6YLEz3UyCfamiTbnsX","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","G","major","G major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.55,0.837,9,-11.155,1,0.0906,0.157,0,0.419,0.698,110.098,"3Z7uAT6QNGqskGNXauvWP7","https://api.spotify.com/v1/audio-analysis/3Z7uAT6QNGqskGNXauvWP7",4,1,1159733,FALSE,"https://api.spotify.com/v1/tracks/3Z7uAT6QNGqskGNXauvWP7",FALSE,"Give Up The Funk / Night Of The Thumpasorus Peoples - Live","https://p.scdn.co/mp3-preview/4b9df79de2a78e1704ff6714c25b8dae0d605107?cid=e188d9db0a404bde8520197a511c47e2",5,"track","spotify:track:3Z7uAT6QNGqskGNXauvWP7","https://open.spotify.com/track/3Z7uAT6QNGqskGNXauvWP7","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","A","major","A major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.476,0.775,2,-9.491,0,0.0922,0.0153,0.00301,0.316,0.695,103.285,"7HnWMvoplwZdqSLHcaa6nF","https://api.spotify.com/v1/audio-analysis/7HnWMvoplwZdqSLHcaa6nF",4,1,576026,FALSE,"https://api.spotify.com/v1/tracks/7HnWMvoplwZdqSLHcaa6nF",FALSE,"Red Hot Mama - Live","https://p.scdn.co/mp3-preview/0dc968e2b68216d2c2bf3a2779348d96ede8901a?cid=e188d9db0a404bde8520197a511c47e2",6,"track","spotify:track:7HnWMvoplwZdqSLHcaa6nF","https://open.spotify.com/track/7HnWMvoplwZdqSLHcaa6nF","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","D","minor","D minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","0WwkaD1p7abFassReRGyLl","album","1978",1978,"year",0.401,0.651,7,-10.55,1,0.0804,0.208,0,0.31,0.711,134.801,"0SufZqd5udE7Gqhlm1dJup","https://api.spotify.com/v1/audio-analysis/0SufZqd5udE7Gqhlm1dJup",4,1,424826,FALSE,"https://api.spotify.com/v1/tracks/0SufZqd5udE7Gqhlm1dJup",FALSE,"Into You - Live","https://p.scdn.co/mp3-preview/ce6f8e45e35ece2e00ef71bf5516142566e85dbd?cid=e188d9db0a404bde8520197a511c47e2",7,"track","spotify:track:0SufZqd5udE7Gqhlm1dJup","https://open.spotify.com/track/0SufZqd5udE7Gqhlm1dJup","Live: Capitol Theatre, Passaic, Nj 6 Nov '78","G","major","G major"
